H_vector,DD_vector,UD_vector,H_stats,DD_stats,UD_stats,char_count,total_duration,typing_rollover_ratio,backspace_count,char_sequence,masked_sequence,username,data_type,quality_label,quality_score,password_strength,password_score
"[0.17389999997615815, 0.12029999995231629, 0.15030000001192093, 0.12760000002384186, 0.14810000002384185, 0.14239999997615815, 0.11009999996423721, 0.187, 0.15780000001192093, 0.13019999998807907]","[0.09060000002384186, 0.21239999997615813, 0.133, 0.1035, 0.08310000002384185, 0.06419999998807907, 0.20959999996423723, 0.07590000003576279, 0.07539999997615814]","[-0.08329999995231628, 0.09210000002384186, -0.01730000001192093, -0.02410000002384186, -0.065, -0.07819999998807907, 0.0995, -0.11109999996423721, -0.08240000003576278]","{""mean"": 0.14476999999284745, ""std"": 0.023937142230961106, ""min"": 0.11009999996423721, ""max"": 0.187}","{""mean"": 0.11641111110978657, ""std"": 0.057189191368572895, ""min"": 0.06419999998807907, ""max"": 0.21239999997615813}","{""mean"": -0.029977777772479584, ""std"": 0.07712559201758717, ""min"": -0.11109999996423721, ""max"": 0.0995}",10,1.1778999999761581,0.7777777777777778,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing123,enrollment,good,100,weak,3
"[0.17160000002384185, 0.10359999996423722, 0.17490000003576278, 0.1255, 0.18080000001192092, 0.1250999999642372, 0.10310000002384186]","[0.2512000000476837, 0.19329999995231628, 0.22660000002384187, 0.2465, 0.27530000001192095, 0.2150999999642372]","[0.07960000002384186, 0.08969999998807907, 0.05169999998807907, 0.121, 0.0945, 0.09]","{""mean"": 0.14065714286054884, ""std"": 0.03414922436823257, ""min"": 0.10310000002384186, ""max"": 0.18080000001192092}","{""mean"": 0.23466666666666666, ""std"": 0.029063975436401514, ""min"": 0.19329999995231628, ""max"": 0.27530000001192095}","{""mean"": 0.08775, ""std"": 0.02247672129303731, ""min"": 0.05169999998807907, ""max"": 0.121}",7,1.511100000023842,0.0,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.16210000002384187, 0.1275, 0.14910000002384186, 0.11859999996423722, 0.195, 0.12869999998807907, 0.13210000002384187]","[0.2719000000357628, 0.21539999997615814, 0.23160000002384185, 0.22389999997615814, 0.25360000002384187, 0.15769999998807907]","[0.10980000001192093, 0.08789999997615815, 0.0825, 0.10530000001192093, 0.05860000002384186, 0.029]","{""mean"": 0.14472857143197743, ""std"": 0.026595783777383152, ""min"": 0.11859999996423722, ""max"": 0.195}","{""mean"": 0.22568333333730697, ""std"": 0.03919435760526901, ""min"": 0.15769999998807907, ""max"": 0.2719000000357628}","{""mean"": 0.07885000000397364, ""std"": 0.030488735624723404, ""min"": 0.029, ""max"": 0.10980000001192093}",7,1.4862000000476838,0.0,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.1534000000357628, 0.1135, 0.167, 0.12329999995231629, 0.26, 0.168, 0.1427000000476837]","[0.0825, 0.21060000002384185, 0.17310000002384185, 0.2831999999880791, 0.036699999988079074, 0.28339999997615817]","[-0.07090000003576279, 0.09710000002384186, 0.006100000023841858, 0.1599000000357628, -0.22330000001192093, 0.11539999997615814]","{""mean"": 0.1611285714336804, ""std"": 0.04822875056611568, ""min"": 0.1135, ""max"": 0.26}","{""mean"": 0.17825000000000002, ""std"": 0.10232158618508186, ""min"": 0.036699999988079074, ""max"": 0.28339999997615817}","{""mean"": 0.014050000001986824, ""std"": 0.14286782354394237, ""min"": -0.22330000001192093, ""max"": 0.1599000000357628}",7,1.2122000000476838,0.3333333333333333,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.172, 0.1235, 0.17689999997615813, 0.13160000002384187, 0.203, 0.16239999997615814, 0.11620000004768372]","[0.09480000001192093, 0.2175, 0.15439999997615814, 0.21430000001192093, 0.08860000002384186, 0.09059999996423722]","[-0.07719999998807907, 0.094, -0.0225, 0.08269999998807907, -0.11439999997615814, -0.07180000001192093]","{""mean"": 0.15508571428912027, ""std"": 0.03207431102198793, ""min"": 0.11620000004768372, ""max"": 0.203}","{""mean"": 0.14336666666467984, ""std"": 0.061304899207980386, ""min"": 0.08860000002384186, ""max"": 0.2175}","{""mean"": -0.018199999998013177, ""std"": 0.08763166093699062, ""min"": -0.11439999997615814, ""max"": 0.094}",7,0.9764000000357628,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.1465, 0.17130000001192092, 0.2561999999880791, 0.1385, 0.2119000000357628, 0.13330000001192094, 0.14820000004768372]","[0.09119999998807907, 0.26939999997615816, 0.20560000002384185, 0.4515999999642372, 0.13080000001192094, 0.07469999998807907]","[-0.05530000001192093, 0.09809999996423721, -0.05059999996423721, 0.3130999999642372, -0.08110000002384186, -0.05860000002384186]","{""mean"": 0.17227142858505248, ""std"": 0.04567686190932229, ""min"": 0.13330000001192094, ""max"": 0.2561999999880791}","{""mean"": 0.20388333332538605, ""std"": 0.1416940142113259, ""min"": 0.07469999998807907, ""max"": 0.4515999999642372}","{""mean"": 0.027599999984105426, ""std"": 0.15408717012146964, ""min"": -0.08110000002384186, ""max"": 0.3130999999642372}",7,1.3715,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.1465, 0.12489999997615814, 0.15830000001192093, 0.1254000000357628, 0.1735, 0.0785, 0.17680000001192092]","[0.14019999998807908, 0.22369999998807907, 0.24019999998807906, 0.2444000000357628, 0.167, 0.21789999997615814]","[-0.006300000011920929, 0.09880000001192094, 0.08189999997615814, 0.119, -0.0065, 0.13939999997615815]","{""mean"": 0.14055714286225182, ""std"": 0.03433869814996566, ""min"": 0.0785, ""max"": 0.17680000001192092}","{""mean"": 0.20556666666269302, ""std"": 0.042305113959953386, ""min"": 0.14019999998807908, ""max"": 0.2444000000357628}","{""mean"": 0.07104999999205272, ""std"": 0.06301703737677491, ""min"": -0.0065, ""max"": 0.13939999997615815}",7,1.410199999988079,0.3333333333333333,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.14460000002384185, 0.106, 0.17840000003576278, 0.12139999997615815, 0.1964000000357628, 0.13139999997615814, 0.1145]","[0.11270000004768371, 0.19809999996423722, 0.14560000002384185, 0.1865999999642372, 0.07590000003576279, 0.08739999997615815]","[-0.03189999997615814, 0.09209999996423722, -0.03280000001192093, 0.06519999998807907, -0.1205, -0.044]","{""mean"": 0.14181428572109767, ""std"": 0.03386199585462665, ""min"": 0.106, ""max"": 0.1964000000357628}","{""mean"": 0.13438333333532015, ""std"": 0.05101001533339387, ""min"": 0.07590000003576279, ""max"": 0.19809999996423722}","{""mean"": -0.011983333339293795, ""std"": 0.07800198500499218, ""min"": -0.1205, ""max"": 0.09209999996423722}",7,0.920800000011921,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.13860000002384185, 0.13069999998807907, 0.1525, 0.112, 0.21510000002384186, 0.1595, 0.1315]","[0.060400000035762784, 0.21030000001192092, 0.17159999996423722, 0.21980000001192093, 0.08030000001192093, 0.10980000001192093]","[-0.07819999998807907, 0.07960000002384186, 0.019099999964237214, 0.10780000001192093, -0.13480000001192094, -0.04969999998807907]","{""mean"": 0.14855714286225183, ""std"": 0.03318794245400255, ""min"": 0.112, ""max"": 0.21510000002384186}","{""mean"": 0.14203333334128063, ""std"": 0.0679649517422341, ""min"": 0.060400000035762784, ""max"": 0.21980000001192093}","{""mean"": -0.009366666664679845, ""std"": 0.09439467499676113, ""min"": -0.13480000001192094, ""max"": 0.10780000001192093}",7,0.9837000000476838,0.5,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.19910000002384184, 0.11780000001192092, 0.18419999998807907, 0.13229999995231628, 0.1914000000357628, 0.15769999998807907, 0.11990000003576279]","[0.15169999998807907, 0.2055, 0.17090000003576278, 0.2042999999523163, 0.07690000003576279, 0.09589999997615814]","[-0.047400000035762786, 0.08769999998807908, -0.013299999952316285, 0.072, -0.1145, -0.06180000001192093]","{""mean"": 0.15748571429082325, ""std"": 0.03468330187559998, ""min"": 0.11780000001192092, ""max"": 0.19910000002384184}","{""mean"": 0.15086666666467985, ""std"": 0.05428508695209222, ""min"": 0.07690000003576279, ""max"": 0.2055}","{""mean"": -0.012883333335320156, ""std"": 0.07903486361667311, ""min"": -0.1145, ""max"": 0.08769999998807908}",7,1.025100000023842,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.15619999998807907, 0.13279999995231628, 0.15689999997615814, 0.11510000002384185, 0.1955, 0.14560000002384185, 0.10530000001192093]","[0.0905, 0.22189999997615814, 0.17319999998807908, 0.21019999998807906, 0.07080000001192092, 0.09069999998807907]","[-0.06569999998807907, 0.08910000002384186, 0.016300000011920928, 0.09509999996423721, -0.12469999998807907, -0.054900000035762786]","{""mean"": 0.14391428571087972, ""std"": 0.030078642947452945, ""min"": 0.10530000001192093, ""max"": 0.1955}","{""mean"": 0.14288333332538605, ""std"": 0.06686910845340069, ""min"": 0.07080000001192092, ""max"": 0.22189999997615814}","{""mean"": -0.007466666668653489, ""std"": 0.08921277187754871, ""min"": -0.12469999998807907, ""max"": 0.09509999996423721}",7,0.9625999999642372,0.5,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",testing1,enrollment,good,100,weak,2
"[0.21489999997615813, 0.11660000002384185, 0.17709999996423723, 0.13889999997615815, 0.2240999999642372, 0.15369999998807907, 0.11419999998807907]","[0.16639999997615815, 0.2797000000476837, 0.18489999997615814, 0.22680000001192094, 0.08589999997615815, 0.10360000002384186]","[-0.0485, 0.16310000002384187, 0.007800000011920929, 0.08790000003576279, -0.13819999998807908, -0.05009999996423721]","{""mean"": 0.16278571426868438, ""std"": 0.044397838843510236, ""min"": 0.11419999998807907, ""max"": 0.2240999999642372}","{""mean"": 0.1745500000019868, ""std"": 0.07328417975526876, ""min"": 0.08589999997615815, ""max"": 0.2797000000476837}","{""mean"": 0.003666666686534882, ""std"": 0.10795340970977345, ""min"": -0.13819999998807908, ""max"": 0.16310000002384187}",7,1.1615,0.5,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",test1,enrollment,good,100,weak,2
"[0.17490000003576278, 0.12069999998807907, 0.19080000001192093, 0.1395, 0.21230000001192093, 0.15879999995231628, 0.10869999998807907]","[0.11280000001192093, 0.21430000001192093, 0.16859999996423722, 0.18030000001192092, 0.08440000003576278, 0.0945]","[-0.062100000023841855, 0.09360000002384186, -0.022200000047683716, 0.040800000011920926, -0.12789999997615814, -0.06429999995231628]","{""mean"": 0.15795714285543988, ""std"": 0.037582347691724326, ""min"": 0.10869999998807907, ""max"": 0.21230000001192093}","{""mean"": 0.1424833333392938, ""std"": 0.052587048461036554, ""min"": 0.08440000003576278, ""max"": 0.21430000001192093}","{""mean"": -0.023683333327372866, ""std"": 0.07987784215076255, ""min"": -0.12789999997615814, ""max"": 0.09360000002384186}",7,0.9636000000238418,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",test1,enrollment,good,100,weak,2
"[0.14189999997615815, 0.09330000001192093, 0.1825, 0.13119999998807907, 0.20669999998807906, 0.17710000002384185, 0.13]","[0.11609999996423721, 0.265, 0.1315, 0.27910000002384183, 0.08889999997615815, 0.0855]","[-0.02580000001192093, 0.17169999998807908, -0.051, 0.14790000003576279, -0.11780000001192092, -0.09160000002384186]","{""mean"": 0.15181428571258274, ""std"": 0.03876520899572806, ""min"": 0.09330000001192093, ""max"": 0.20669999998807906}","{""mean"": 0.16101666666070621, ""std"": 0.08780492964021491, ""min"": 0.0855, ""max"": 0.27910000002384183}","{""mean"": 0.005566666662693026, ""std"": 0.12385750954050002, ""min"": -0.11780000001192092, ""max"": 0.17169999998807908}",7,1.0960999999642371,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",test1,enrollment,good,100,weak,2
"[0.13139999997615814, 0.11510000002384185, 0.1645, 0.12569999998807907, 0.2102999999523163, 0.15220000004768372, 0.09930000001192094]","[0.2195, 0.20969999998807906, 0.19130000001192093, 0.20610000002384185, 0.07079999995231628, 0.10290000003576279]","[0.08810000002384186, 0.09459999996423721, 0.02680000001192093, 0.08040000003576278, -0.1395, -0.049300000011920926]","{""mean"": 0.14264285714285715, ""std"": 0.036962226520033545, ""min"": 0.09930000001192094, ""max"": 0.2102999999523163}","{""mean"": 0.16671666666865348, ""std"": 0.06334288963941476, ""min"": 0.07079999995231628, ""max"": 0.2195}","{""mean"": 0.016850000003973638, ""std"": 0.09389395614649132, ""min"": -0.1395, ""max"": 0.09459999996423721}",7,1.099600000023842,0.3333333333333333,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",test1,enrollment,good,100,weak,2
"[0.1697999999523163, 0.11559999996423721, 0.14780000001192092, 0.1375, 0.20480000001192092, 0.17630000001192092, 0.115]","[0.13569999998807908, 0.20809999996423723, 0.1405, 0.19760000002384187, 0.07519999998807907, 0.10269999998807908]","[-0.03409999996423721, 0.0925, -0.007300000011920929, 0.06010000002384186, -0.12960000002384187, -0.07360000002384186]","{""mean"": 0.15239999999318804, ""std"": 0.033206174131432765, ""min"": 0.115, ""max"": 0.20480000001192092}","{""mean"": 0.14329999999205273, ""std"": 0.05195979214878978, ""min"": 0.07519999998807907, ""max"": 0.20809999996423723}","{""mean"": -0.015333333333333334, ""std"": 0.08268834663194503, ""min"": -0.12960000002384187, ""max"": 0.0925}",7,0.9747999999523163,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",test1,enrollment,good,100,weak,2
